user_id,ISBN,rating
638,0316666343,1
638,0316693006,1
638,0316693200,9
638,0316769487,1
638,0316776963,1
638,0316789089,1
638,0316969443,1
638,0345339711,1
638,0385420161,9
638,0385504209,1
638,0385505833,1
638,0446531332,1
638,0670892963,7
638,0679746048,7
4017,0060915544,8
4017,0060929871,9
4017,0140244824,1
4017,014028009X,9
4017,0316096199,1
4017,0316666343,1
4017,0316899984,5
4017,0345443284,1
4017,0375705856,9
4017,0375707972,1
4017,0380730138,9
4017,0385265700,9
4017,0385486804,1
4017,0446310786,1
4017,0452282829,1
4017,0670892963,8
4017,0671038184,1
4017,0671510053,1
4017,067976402X,1
4017,0679781587,9
4017,068484267X,1
4017,068484477X,5
4017,1573225789,9
6242,0060934417,7
6242,0060958022,6
6242,0060987103,7
6242,0140293248,5
6242,0142001430,7
6242,0312195516,7
6242,0312243022,8
6242,0312282990,6
6242,0312291639,5
6242,0375705856,5
6242,0375707972,8
6242,0375726403,7
6242,039592720X,5
6242,0446670251,5
6242,0452264464,5
6242,0679746048,5
6242,0679751521,5
6242,067976402X,8
6242,068484267X,8
6242,068484477X,8
6242,0749397543,3
6242,0871136791,8
6242,1573225789,7
6242,1573229326,6
6251,0060392452,1
6251,0061009059,7
6251,0140067477,1
6251,0312966091,9
6251,0312980140,7
6251,0316569321,8
6251,0375725784,4
6251,0375727345,6
6251,0380789035,7
6251,0380813815,1
6251,0385484518,7
6251,0439136350,1
6251,0439139597,1
6251,043935806X,9
6251,0440206154,7
6251,0440222656,7
6251,0440224675,6
6251,0440498058,1
6251,0440998050,1
6251,0441003257,1
6251,0446532231,1
6251,0670894605,8
6251,0679731148,7
6251,067976402X,8
6251,068484267X,8
6251,0786817070,8
6251,0786885688,8
6543,0060987103,1
6543,0061009059,8
6543,014025448X,8
6543,0142001740,9
6543,0312980140,8
6543,0345342968,8
6543,0380813815,1
6543,0385722206,6
6543,0440212561,8
6543,0446605484,1
6543,0446610038,9
6543,0767905385,7
6543,1400031354,7
6543,1573225789,9
6563,0060199652,8
6563,0060915544,9
6563,0060987103,8
6563,0060987529,8
6563,0061097101,1
6563,0312278586,7
6563,0385484518,1
6563,0439139600,9
6563,043935806X,1
6563,0440211727,1
6563,0440213525,9
6563,0440226430,9
6563,059035342X,8
6563,0671021001,2
6563,0684872153,1
6563,0743418174,9
6563,0767900383,3
6563,0786868716,1
6563,0786881852,8
6575,0060502258,8
6575,0060928336,8
6575,0060934417,9
6575,0060987103,9
6575,014028009X,4
6575,0140293248,8
6575,014029628X,7
6575,0140298479,6
6575,0141000198,4
6575,0142001740,8
6575,0312195516,8
6575,0312243022,7
6575,0312282990,9
6575,0312966970,9
6575,0312980140,9
6575,0312990456,9
6575,0316776963,8
6575,0345391802,8
6575,0345413350,5
6575,0375705856,8
6575,0375706771,7
6575,0375725784,7
6575,0380002930,4
6575,0380977788,9
6575,0385335482,5
6575,0385484518,6
6575,0385720106,7
6575,0385722206,9
6575,0446604666,7
6575,0446606812,2
6575,0446672211,8
6575,0452282152,6
6575,0553279912,7
6575,0609804138,8
6575,0671001795,9
6575,0679429220,6
6575,0679731148,7
6575,0679745203,8
6575,0679746048,9
6575,067976402X,7
6575,0679781587,9
6575,068484267X,9
6575,0743227441,7
6575,080410526X,5
6575,0804106304,9
6575,080410753X,8
6575,0804111359,2
6575,1400031354,9
6575,1400034779,9
7346,0060987103,7
7346,0064472272,6
7346,014029628X,8
7346,0312924585,9
7346,0312966970,8
7346,0312976275,7
7346,0312980140,8
7346,0316096199,8
7346,0345348036,8
7346,0345361792,9
7346,0345370775,8
7346,0345380371,9
7346,0345391055,7
7346,0375726403,8
7346,0380977788,9
7346,0385335881,8
7346,0385479565,8
7346,0385730586,7
7346,0425147622,8
7346,0425154092,8
7346,0440221471,9
7346,0440225701,1
7346,0440234743,9
7346,0440236673,8
7346,0440241073,8
7346,0446359866,7
7346,0449003787,8
7346,0449219364,8
7346,0451526341,8
7346,0590353403,1
7346,0609804138,7
7346,0670892963,7
7346,0671001795,8
7346,0671617028,8
7346,0684872153,7
7346,0743227441,9
7346,0786868716,7
7346,0804106304,9
7346,080410753X,8
7346,155874262X,7
7915,0061009059,8
7915,0312195516,1
7915,0312966091,8
7915,0312976275,1
7915,0312980140,1
7915,0375706771,8
7915,0385504209,1
7915,0440212561,9
7915,0440215625,1
7915,0440226430,7
7915,0452282152,9
7915,0553272535,8
7915,0609804138,3
7915,0679745203,5
7915,0786868716,1
8245,0060199652,6
8245,0142001430,9
8245,0156027321,9
8245,0312195516,9
8245,0316969443,7
8245,0345446860,7
8245,0385722206,7
8245,039592720X,8
8245,0439064872,8
8245,044021145X,9
8245,0440215625,7
8245,0440224764,8
8245,0452282152,1
8245,0452282829,6
8245,0452284449,9
8245,0515131229,8
8245,0553268880,9
8245,0609804138,9
8245,0671038184,8
8245,0684874350,8
